PSG_DATE;PSG_DEVICE;PSG_TRANSACTION;PL_ID;PL_EXT;OP_ID;OP_EXT;GD_ID;GD_VER;CRD_TECH;CRD_NO;CRD_SERIAL_NO;CRD_USAGE_COUNTER;CRD_TRIP_COUNTER;CRD_UNITS;IN_DATE;DT_ID;ROUTE_ID;BEGIN_TIME;VT_HASH_CODE;VT_BLANK_GD_ID;VT_SALE;TARIFF_KIND;TRN_CODE;LAYOUT_ID;SECTOR_OF_TICKET;ANTIFROD_RES;FILE_ID;CRD_REFILL_COUNTER;GD2_ID;PROLONG;CRD_DATE_BEGIN;CRD_DATE_END;LAST_SALE_DATE;THIRD_PARTY_DATA_SRC;CC_TRN_ID;PAYMENT_ID;PAYMENT_TYPE;PAYMENT_REQUEST
29.01.23 17:09:50;19547;23912;439;211;73;269;4793;636;S;1778523784;1549437878403328;95;0;0;29.01.23 17:20:15;1;;;;;;;;;;;1716035127;0;;1;;;;;;;;
29.01.23 17:09:50;47373;8036;35;210;73;6201;4793;636;S;2524683912;1563982987571456;685;0;0;29.01.23 17:20:16;2;;;;;;;;;;;1716035808;0;;1;;;;;;;;
29.01.23 17:09:51;20963;59883;458;222;73;2210;4414;636;S;25358827;1270254870749312;55;0;851,26;29.01.23 17:20:14;1;283;29.01.23 17:09:00;;4413;;1;;;;;1716034749;15;;1;;;;;;;;
29.01.23 17:09:51;26628;6664;426;212;73;8392;4414;636;S;10318189;1188817459039616;117;0;382;29.01.23 17:20:17;1;283;29.01.23 17:09:00;;4413;;1;;;;;1716036746;23;;1;;;;;;;;
29.01.23 17:09:51;35162;10247;449;206;73;6080;4831;636;S;32770290;1233758252854656;14;0;0;29.01.23 17:20:13;1;283;29.01.23 17:09:00;;4430;;;;;;;1716033637;4;;1;;;;;;;;
29.01.23 17:09:51;36080;15902;461;206;73;959;4973;636;S;39026352;1199706681406338;23;0;0;29.01.23 20:35:14;1;283;29.01.23 17:09:00;;4693;;;;;;;1716246550;2;;1;;;;;;;;
29.01.23 17:09:51;36257;3190;433;211;73;5172;4829;636;S;37650000;1135273313727362;85;0;0;29.01.23 17:20:13;1;283;29.01.23 17:09:00;;4430;;;;;;;1716034254;9;;1;;;;;;;;
29.01.23 17:09:51;45077;17724;460;213;73;2885;4793;636;S;2218445448;1561551106765056;317;0;0;29.01.23 17:22:15;1;;;;;;;;;;;1716042052;0;;1;;;;;;;;
29.01.23 17:09:51;45345;20260;426;206;73;8214;4793;636;S;3050851464;14663025759826470;14;0;0;29.01.23 17:20:12;1;;;;;;;;;;;1716033549;0;;1;;;;;;;;
29.01.23 17:09:51;45537;20639;439;211;73;269;4414;636;S;26803282;1266948821508736;11;0;408;29.01.23 17:20:16;1;283;29.01.23 17:09:00;;4413;;1;;;;;1716035702;112;;1;;;;;;;;
29.01.23 17:09:52;50505;28437;431;207;73;847;4829;636;S;18013930;1218829221910144;62;0;0;29.01.23 17:20:13;1;283;29.01.23 17:09:00;;4430;;;;;;;1716033958;2;;2;;;;;;;;
29.01.23 17:09:53;34537;23668;429;201;73;7359;4793;636;S;2313329544;1555230307414272;955;0;0;29.01.23 17:20:14;1;;;;;;;;;;;1716034584;0;;1;;;;;;;;
29.01.23 17:09:53;46032;47204;431;209;73;8391;4414;636;S;3951616651;1249342268525952;52;0;356;29.01.23 17:20:17;1;283;29.01.23 17:09:00;;4423;;1;;;;;1716036513;6;;1;;;;;;;;
